IOF ID;First Name;Last Name;Country;WRS Position;WRS points;WRS events;Avg point
4373;Baiba;Ozola;LAT;1403;340;1;340.0
19136;Minna;Narhi;FIN;1405;338;1;338.0
19835;Asa;Otterbjork;SWE;1406;335;1;335.0
21182;Pia;Ocvirk;CRO;1407;334;1;334.0
25940;Eeva;Rautanen;FIN;1407;334;1;334.0
28185;Elina;Liuha;FIN;1407;334;1;334.0
28197;Heini;Tarvainen;FIN;1410;333;1;333.0
19291;Karoline;Dahl Fosby;NOR;1411;330;1;330.0
20365;Linda;Schrader;NED;1412;327;1;327.0
25707;Caroline;Sandbo;USA;1413;326;2;163.0
1808;Monika;Gotcaityte;LTU;1414;324;1;324.0
22610;Anastasiia;Murzina;RUS;1415;323;1;323.0
24549;Antonia;Sofrankova;SVK;1415;323;1;323.0
34552;Ragnhild;Lovli;NOR;1415;323;1;323.0
28248;Anna;Egorova;RUS;1418;320;1;320.0
5557;Lena;Spalinger;SUI;1419;317;1;317.0
6407;Andrea;Wickbom;SWE;1419;317;1;317.0
24738;Caroline;Lindelow;SWE;1419;317;1;317.0
34005;Serena;Raus;ITA;1419;317;1;317.0
37141;Maria Vittoria;Bulferi;ITA;1423;314;1;314.0
699;Ellyn;Brown;USA;1424;313;1;313.0
28459;Magdalena;Fassl;AUT;1424;313;2;156.5
31921;Ines;Alves;POR;1424;313;4;78.3
6077;Tereza;Uhlikova;CZE;1427;311;1;311.0
32896;Valeryia;Haurylava;BLR;1428;309;1;309.0
2261;Ruth;Holmes;GBR;1429;306;1;306.0
3871;Selena;Metherell;NZL;1429;306;1;306.0
19555;Shoira;Ruzieva;RUS;1429;306;2;153.0
6701;Hedvig;Astebol;NOR;1432;304;1;304.0
964;Caecilie;Christoffersen;DEN;1433;302;1;302.0
24240;Ilona;Haapasaari;FIN;1433;302;1;302.0
36774;Stina;Nero;SWE;1435;301;2;150.5
31550;Isabel;Diz Cao;ESP;1436;297;1;297.0
518;Nicola;Blatchford;AUS;1437;296;1;296.0
33624;Alina;Rotaru;ROU;1437;296;2;148.0
26454;Wai Ning;Lui;HKG;1439;294;4;73.5
33491;Elina;Rauhala;FIN;1440;292;1;292.0
